Banjara,English
mar nam,my name is
kun cha vu,who is this
thar naam kai,what is your name
Main tane na chhodu,I will not leave you
Tu katha hai?,Where are you?
Tu khano khayyo?,Did you have food?
Tu kattha jaaro?,Where are you going?
Tu kai karochi?,What are you doing? (male)
Kai karrochi?,What are you doing?
Tu varu che?,How are you?
U shev kharoch.,He eats an apple.
U sev khaldo.,He ate an apple.
Ma larer haptan picture diti.,I saw the film last week.
U kalen baseti aayo.,She came by bus yesterday.
U devul go.,They went to the temple.
U sari rat suto.,He slept the whole night.
U paper aacho lakho.,He wrote well in the examination.
U khaldoto.,He had eaten.
U chalgoto.,He had gone.
U aayotho.,He had come.
U khaya.,He will eat.
U jaya.,He will go.
U aaya.,He will come.
Ton kunsi nand cheni.,You don’t have any habit.
Ton kunsi tension cheni.,You don’t have any tension.
Tum kai kide?,What did you do?
Ma kai karu?,What should I do?
Ma kai kru sakuchu?,What can I do?
Kai sawal chha?,What are the questions?
Kai sawal vete?,What were the questions?
Akhri sawal kai chha?,What is the last question?
Chitti mai kai lakho chha?,What is written in the letter?
Tamen kai kete?,What were you told?
Kai wat viy?,What will be the answer?
Tum kashen aaye?,Why did you come?
Tum kashen sute?,Why did you sleep?
Tam von jayen kashen ke?,Why did you tell him to go?
U thaili kashen layo?,Why did he bring the bag?
U pisa kashen dino?,Why did she pay the money?
U vot kashen baithoto?,Why did they sit there?
Tam car kashen chalavoch?,Why do you drive the car?
U meetingem dameti kaa aayo?,Why did they come late for the meeting?
Tam ku aaye?,How did you come?
Tam ku sute?,How did you sleep?
Tu car ku chalayo?,How did you drive the car?
Tu kim lakho?,How did you write?
Mar hatem katri shev chha?,How many apples are there in my hand?
Tu katra lido?,How many did you take?
U ton katra pisa dino?,How much did he pay you?
Aaji katri dur jayer chha?,How much distance is to go?
Kaler jatra kashek vetti?,How was the journey yesterday?
Tu kulsi wateti aayo?,Which way did you come?
Tar pasender kunso rang chha?,Which is your favourite colour?
Tum kunsi kholim suto?,In which room did you sleep?
Ton kulas saki kai?,Which story did you tell?
Sheti mitho fal kunso chha?,Which is the sweetest fruit?
Hindi mai chaketi aacho batmi paper kunso chha?,Which is the best Hindi newspaper?
Bharter kunso rajyer loksankhya jyada chha?,Which Indian state has the largest population?
Tam kateti aare cho?,Where are you coming from?
Tam kat sute?,Where did you sleep?
Vyvasthapker cabin kath chha?,Where is the manager’s cabin?
Ma kat jayen chawch?,Where should I go?
Ee pustak chha kai?,Is it a book?
"Hav, ee pustak chha.","Yes, it is a book."
Ee uttar cha kai?,Is it the answer?
"Hav, ee uttar cha.","Yes, it is the answer."
Tu mar sobat aayechhi kai?,Will you come with me?
Ma tar sobat aauchu.,I shall come with you.
Tu man tar pen deichhi kai?,Will you give me your pen?
"Hav, nakki.","Yes, of course."
Tu mati prem karechi kai?,Do you love me?
"Hav, ma tati prem karuchu.","Yes, I love you."
"Koni, ma tati prem karuni.","No, I don’t love you."
Tu man tar pen deu sakechi kai?,Can you give me your pen?
Tu box watav sakechi kai?,Can you lift the box?
Kai tam pariksha laku sachechi kai?,Can you write the exam?
Tu doperer bati khaldo kai?,Did you have lunch?
Ma thik chhu.,I am fine.
amar kan chaya cha ka?,Do you have tea?
Tamar kan lota cha ka?,Do you have chilli powder at home?
Ma salam jaro chu.,I am going to school.
Ma pani pi ro chu.,I am drinking water
Balad dhas jaye.,Cow ran away.
Balad dhasri chaa.,Ox is running.
Gawdi dhasgi.,Cow ran.
Balad dhas jaya.,Ox will run.
Ek cup chaya jhala.,Bring a cup of tea.
Thaili deichi kai.,Can you bring a bag?
Khet balro chaa.,Farm is burning!
Bhar tadko lagroch kai?,Is it heating outside?
Vu chori ghalo lamb cha.,That girl is very tall.
Tu sapko digria.,You come early.
Tu dameti aajo.,You come slowly.
Aaji katri dur jayer chha?,How much distance to go?
Tu katra lido?,How many did you take?
Tar pasender kunso rang chha?,Which is your favorite color?
Ee pustak chha kai?,Is it a book?
Tu katha rahyo chhu?,Where are you staying?
Ma gaav ma rahyo chhu.,I am staying in the village.
Tu savere uthyo kai?,Did you wake up early?
Ma savere uthyo.,I woke up early.
Tu raat ma jaldi sute kai?,Did you sleep early at night?
Ma raat ma jaldi suto.,I slept early at night.
Tu kai vakhte aayo?,When did you come?
Ma savere aayo.,I came in the morning.
Tu kai vakhte jaro?,When are you going?
Ma sanjh jaro chhu.,I am going in the evening.
Tu kal kai kido?,What did you do yesterday?
Ma kal ghar ma rahyo.,I stayed at home yesterday.
Tu bazaar gayo kai?,Did you go to the market?
Ma bazaar gayo.,I went to the market.
Tu sabji layo kai?,Did you bring vegetables?
Ma sabji layo.,I brought vegetables.
Tu ghar saaf kido kai?,Did you clean the house?
Ma ghar saaf kido.,I cleaned the house.
Tu kapda dhoyo kai?,Did you wash clothes?
Ma kapda dhoyo.,I washed clothes.
Tu aaj kaam jaro kai?,Are you going to work today?
Ma aaj kaam jaro chhu.,I am going to work today.
Tu kaam jaldi pooro kido kai?,Did you finish work early?
Ma kaam jaldi pooro kido.,I finished work early.
Tu aaj school gayo kai?,Did you go to school today?
Ma aaj school gayo.,I went to school today.
Tu teacher ne malyo kai?,Did you meet the teacher?
Ma teacher ne malyo.,I met the teacher.
Tu pustak layo kai?,Did you bring the book?
Ma pustak layo.,I brought the book.
Tu pustak vachyo kai?,Did you read the book?
Ma pustak vachyo.,I read the book.
Tu chai banayo kai?,Did you make tea?
Ma chai banayo.,I made tea.
Tu ghar ma koi chha kai?,Is anyone at home?
"Haa, ghar ma maa chha.","Yes, mother is at home."
Tu maa ne madad kidi kai?,Did you help your mother?
Ma maa ne madad kidi.,I helped my mother.
Tu pani bharyo kai?,Did you fill water?
Ma pani bharyo.,I filled water.
Tu nahaayo kai?,Did you take a bath?
Ma nahaayo.,I took a bath.
Tu kapda badalya kai?,Did you change clothes?
Ma kapda badalya.,I changed clothes.
Tu savere walk kido kai?,Did you go for a walk in the morning?
Ma savere walk kido.,I went for a walk in the morning.
Tu koni sobat gayo?,With whom did you go?
Ma dosto sobat gayo.,I went with friends.
Tu dosto ne malyo kai?,Did you meet your friends?
Ma dosto ne malyo.,I met my friends.
Tu game khelo kai?,Did you play a game?
Ma game khelo.,I played a game.
Tu mobile vapryo kai?,Did you use the mobile?
Ma mobile vapryo.,I used the mobile.
Tu phone charge kido kai?,Did you charge the phone?
Ma phone charge kido.,I charged the phone.
Tu raat ma tv joyo kai?,Did you watch TV at night?
Ma raat ma tv joyo.,I watched TV at night.
Tu news sambhdi kai?,Did you listen to the news?
Ma news sambhdi.,I listened to the news.
